time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-01 00:00:00+00:00,239,50,542,347
2025-04-02 00:00:00+00:00,307,73,518,310
2025-04-03 00:00:00+00:00,388,80,542,296
2025-04-04 00:00:00+00:00,60,26,395,240
2025-04-05 00:00:00+00:00,19,10,269,216
2025-04-06 00:00:00+00:00,33,10,271,189
2025-04-07 00:00:00+00:00,128,32,350,234
2025-04-08 00:00:00+00:00,585,106,546,251
2025-04-09 00:00:00+00:00,60,27,343,219
2025-04-10 00:00:00+00:00,64,17,218,38
2025-04-11 00:00:00+00:00,39,10,124,44
2025-04-12 00:00:00+00:00,44,7,32,14
2025-04-13 00:00:00+00:00,20,3,8,7
